title,minutes
"Dick Johnson Is Dead",90
"My Little Pony: A New Generation",91
Sankofa,125
"The Starling",104
"Je Suis Karl",127
"Confessions of an Invisible Girl",91
"Europe's Most Dangerous Man: Otto Skorzeny in Spain",67
Intrusion,94
"Avvai Shanmughi",161
"Go! Go! Cory Carson: Chrissy Takes the Wheel",61
Jeans,166
"Minsara Kanavu",147
"Grown Ups",103
"Dark Skies",97
Paranoia,106
"Ankahi Kahaniya",111
"The Father Who Moves Mountains",110
"The Stronghold",105
"Birth of the Dragon",96
Jaws,124
"Jaws 2",116
"Jaws 3",98
"Jaws: The Revenge",91
"My Heroes Were Cowboys",23
"Safe House",115
"Training Day",122
"InuYasha the Movie 2: The Castle Beyond the Looking Glass",99
"InuYasha the Movie 3: Swords of an Honorable Ruler",99
"InuYasha the Movie 4: Fire on the Mystic Island",88
"InuYasha the Movie: Affections Touching Across Time",100
"Naruto Shippuden the Movie: Blood Prison",102
"Naruto Shippûden the Movie: Bonds",93
"Naruto Shippûden the Movie: The Will of Fire",96
"Naruto Shippuden: The Movie",95
"Naruto Shippuden: The Movie: The Lost Tower",85
"Naruto the Movie 2: Legend of the Stone of Gelel",97
"Naruto the Movie 3: Guardians of the Crescent Moon Kingdom",95
"Naruto the Movie: Ninja Clash in the Land of Snow",83
Nightbooks,103
Schumacher,113
"A StoryBots Space Adventure",13
"King of Boys",182
"You vs. Wild: Out Cold",106
"Little Singham - Black Shadow",48
"Tughlaq Durbar",145
"Tughlaq Durbar (Telugu)",145
"Firedrake the Silver Dragon",93
Kate,106
"Omo Ghetto: the Saga",147
Prey,87
"Blood Brothers: Malcolm X & Muhammad Ali",96
"Paradise Hills",95
"The Women and the Murderer",92
JJ+E,91
"Show Dogs",90
"If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd",97
"Untold: Breaking Point",80
"Shadow Parties",117
"Angamaly Diaries",128
"A Champion Heart",90
Worth,119
"Afterlife of the Party",110
Anjaam,143
"Bright Star",119
Dhanak,114
"Final Account",94
Gurgaon,106
"Here and There",99
"In the Cut",118
Shikara,115
"A Cinderella Story",95
"Agatha Christie's Crooked House",115
"An Unfinished Life",108
"Barbie Big City Big Dreams",63
"Blade Runner: The Final Cut",117
Chappie,121
"Clear and Present Danger",142
Cliffhanger,113
"Cold Mountain",154
"Crocodile Dundee in Los Angeles",95
"Dear John",108
"Do the Right Thing",120
"El patrón, radiografía de un crimen",100
Extraction,82
"Freedom Writers",124
"Green Lantern",114
"House Party",104
"House Party 2",94
"House Party 3",94
"I Got the Hook Up",93
"In Too Deep",97
"Initial D",109
"Janoskians: Untold and Untrue",88
Labyrinth,101
"Letters to Juliet",105
"Level 16",102
"Love Don't Cost a Thing",101
"Love in a Puff",103
"Mars Attacks!",106
Marshall,118
"My Boss's Daughter",86
"Mystery Men",121
"Once Upon a Time in America",229
"Open Season 2",76
"Osmosis Jones",95
Poseidon,98
"Rhyme & Reason",89
"Same Kind of Different as Me",120
"School of Rock",110
"Snervous Tyler Oakley",83
"Tears of the Sun",121
"The Blue Lagoon",105
"The Golden Child",94
"The Guns of Navarone",156
"The Interview",112
"The Nutty Professor",95
"The Nutty Professor II: The Klumps",107
"Welcome Home Roscoe Jenkins",114
"In the Line of Fire",129
"Untold: Crime & Penalties",86
"2 Alone in Paris",97
Thimmarusu,125
"Wind River",107
"C Kkompany",127
"EMI: Liya Hai To Chukana Padega",128
"He's All That",92
"Koi Aap Sa",135
"Krishna Cottage",124
"Kucch To Hai",136
"Kyaa Kool Hai Hum",165
"Kyaa Kool Hain Hum 3",124
"Kyaa Super Kool Hain Hum",136
"Kyo Kii... Main Jhuth Nahin Bolta",150
"LSD: Love, Sex Aur Dhokha",112
"Mission Istaanbul: Darr Ke Aagey Jeet Hai",119
"Once Upon a Time in Mumbaai",133
"Once Upon a Time in Mumbai Dobaara!",142
"Ragini MMS",93
"Ragini MMS 2",113
"SAS: Rise of the Black Swan",124
"Shootout at Lokhandwala",116
"Shor In the City",106
"The Dirty Picture",145
"Bob Ross: Happy Accidents, Betrayal & Greed",93
"Really Love",95
"The November Man",108
"The Old Ways",90
"The River Runner",86
"The Water Man",92
"Count Me In",82
"Untold: Caitlyn Jenner",70
Boomika,122
"Boomika (Hindi)",122
"Boomika (Malayalam)",122
"Boomika (Telugu)",122
"The Witcher: Nightmare of the Wolf",84
Gunshot,96
"Man in Love",115
"Sweet Girl",110
"The Loud House Movie",88
"A Faraway Land",102
"Like Crazy",91
"Black Island",105
Bombay,135
"Memories of a Murderer: The Nilsen Tapes",86
"Nneka The Pretty Serpent",140
"O Kadhal Kanmani",133
"Out of my league",92
Pahuna,82
"The Secret Diary of an Exchange Student",97
"Untold: Deal With the Devil",78
"Walk of Shame",94
"The Piano",121
Unroyal,97
Beckett,110
"Lokillo: Nothing's the Same",64
"Monster Hunter: Legends of the Guild",59
"Brother Jekwu",101
"La diosa del asfalto",127
"Misha and the Wolves",90
"The Kissing Booth 3",114
"The Railway Man",108
"Untold: Malice at the Palace",70
Quartet,98
Slay,86
"Takizawa Kabuki ZERO 2020 The Movie",139
"The Paper Tigers",111
"Quam's Money",115
"The Swarm",102
Vivo,100
"Chennai Express",135
"City of God: 10 Years Later",69
"Esperando la carroza",95
"Lady Boss: The Jackie Collins Story",97
"Tango Feroz",124
'76,118
Aftermath,115
"American Masters: Inventing David Geffen",115
Heavy,104
"Ije: The Journey",106
"Pray Away",102
"Shiny_Flakes: The Teenage Drug Lord",97
Beethoven,87
"Beethoven's 2nd",88
Beowulf,114
"Boyka: Undisputed",90
"Catch Me If You Can",142
"Cloudy with a Chance of Meatballs",90
"Deep Blue Sea",105
"Ferris Bueller's Day Off",103
"Five Feet Apart",116
Freedomland,113
"Good Luck Chuck",99
"I missed you: Director's Cut",96
Inception,148
Magnolia,189
"Major Payne",97
"My Girl",102
"My Girl 2",99
"Open Season: Scared Silly",85
"Pineapple Express",112
"Planet 51",91
Poms,91
Seabiscuit,141
"Space Cowboys",130
"Team America: World Police",98
"The Edge of Seventeen",105
"The Haunting in Connecticut 2: Ghosts of Georgia",101
"The Last Boy Scout",105
"The Lincoln Lawyer",118
"The Losers",97
"The Machinist",102
"The Net",114
"The Original Kings of Comedy",111
"Valentine's Day",125
"The Lost Café",76
"The Vault",118
"Eyes of a Thief",103
"I'm Glad I Did",114
"Pomegranates and Myrrh",95
"Rurouni Kenshin: The Beginning",138
"The Last Mercenary",112
"Flower Girl",94
"Resort to Love",102
Bartkowiak,92
"Fantastic Fungi",81
Department,143
"Hostage House",86
Mimi,132
"The Operative",117
"Django Unchained",165
"A Second Chance:  Rivals!",91
"African America",97
Bankrolled,97
"Blood Red Sky",123
"Kingdom: Ashin of the North",94
"The Last Letter From Your Lover",111
"9to5: The Story of a Movement",85
"Chhota Bheem - Dinosaur World",65
"Chhota Bheem - Neeli Pahaadi",64
"Chhota Bheem & Ganesh",68
"Chhota Bheem & Krishna: Mayanagari",67
"Chhota Bheem & Krishna: Pataliputra- City of the Dead",66
"Chhota Bheem And The Broken Amulet",64
"Chhota Bheem And The Crown of Valhalla",64
"Chhota Bheem and the Incan Adventure",65
"Chhota Bheem and The ShiNobi Secret",64
"Chhota Bheem Aur Hanuman",68
"Chhota Bheem aur Krishna",68
"Chhota Bheem aur Krishna vs Zimbara",64
"Chhota Bheem in African Safari",62
"Chhota Bheem Ka Roosi Romanch",63
"Chhota Bheem: Bheem vs Aliens",69
"Chhota Bheem: Dholakpur to Kathmandu",70
"Chhota Bheem: Dus Pe Dus",63
"Chhota Bheem: Journey to Petra",68
"Chhota Bheem: Master of Shaolin",74
"Chhota Bheem: The Rise of Kirmada",68
Cousins,99
"Wannabe Courageous",90
"Words Bubble Up Like Soda Pop",87
"Sanitation Day",105
"Trollhunters: Rise of the Titans",106
Milkwater,102
"The Tambour of Retribution",91
"Cosmic Sin",88
"2 Weeks in Lagos",107
Deep,101
"Fear Street Part 3: 1666",114
"La ley de Herodes",123
"The Beguiled",94
"The Book of Henry",105
"The Twilight Saga: Breaking Dawn: Part 1",117
"The Twilight Saga: Breaking Dawn: Part 2",115
"The Twilight Saga: Eclipse",124
"The Twilight Saga: New Moon",131
Twilight,122
"A Perfect Fit",113
"Cheech & Chong's Still Smokin",91
"Emicida: AmarElo - Live in São Paulo",100
"Lift Like a Girl",93
"My Amanda",90
"Surf's Up",86
"The Unknown Saint",100
"This Changes Everything",96
"A Classic Horror Story",95
"Gunpowder Milkshake",115
"Private Network: Who Killed Manuel Buendía?",100
"The Guide to the Perfect Family",102
"American Woman",87
"Bridgerton - The Afterparty",39
"Day of Destiny",110
"Born to Play",93
"American Ultra",96
"The Stand-Up",93
"The Tour",93
"Fear Street Part 2: 1978",111
"Finding Hubby",105
"How I Became a Superhero",101
"Last Summer",102
"Lee Su-geun: The Sense Coach",46
"Lethal Love",89
"Ratchet and Clank",94
"Back to Q82",104
"Home Again",97
"Midnight Sun",91
"Rock the Kasbah",106
"Awon Boyz",38
"Brick Mansions",90
Clash,87
"Major Grom: Plague Doctor",138
"Mama Drama",105
"Tango With Me",104
Therapy,85
"This Little Love Of Mine",92
"Three Thieves",108
"A Land Imagined",95
"Har Kisse Ke Hisse: Kaamyaab",105
Rehmataan,116
"Return of the Prodigal Son",124
"Rise: Ini Kalilah",101
"Si Doel the Movie 2",95
"Truckbhar Swapna",128
Ujala,143
"Fear Street Part 1: 1994",107
"Haseen Dillruba",136
"Holiday on Mars",94
"RattleSnake - The Ahanna Story",136
Snowpiercer,126
"The 8th Night",116
Winchester,100
"6 Bullets",115
"Air Force One",125
Audible,39
"Austin Powers in Goldmember",94
"Austin Powers: International Man of Mystery",90
"Austin Powers: The Spy Who Shagged Me",95
"Boogie Nights",155
"Charlie's Angels",98
Congo,108
"Dennis the Menace",96
"Dreamy Eyes",117
"Dynasty Warriors",118
Hampstead,103
"Kung Fu Panda",94
"Kung Fu Panda 2",93
"Life as We Know It",115
"Mary Magdalene",120
"Memoirs of a Geisha",145
"Midnight Run",126
"Mobile Suit Gundam Hathaway",96
"Mortal Kombat",101
"Mother's Day",118
"No Strings Attached",109
"Not Another Teen Movie",89
Ophelia,106
"Pet Sematary 2",101
"Red Joan",101
"Seven Pounds",123
"She's Out of My League",106
"Snow Day",89
"Star Trek",128
"Stuart Little",85
"Sword of Trust",89
"Talladega Nights: The Ballad of Ricky Bobby",108
"The American",105
"The Best of Enemies",133
"The Game",129
"The Karate Kid",127
"The Karate Kid Part II",113
"The Karate Kid Part III",112
"The Life of David Gale",130
"The Long Riders",100
"The Queen",103
"The Strangers",85
"The Sum of All Fears",124
"The Tourist",103
Underworld,121
"Underworld: Awakening",89
"Underworld: Rise of the Lycans",92
Voiceless,112
"What Dreams May Come",114
"Why Do Fools Fall in Love",116
"Working Title",110
"America: The Motion Picture",98
Deranged,98
"Lying and Stealing",100
"Mommy Issues",90
"Prime Time",92
"A Way Back Home",82
"Killing Them Softly",97
Wanted,90
"Into the Wind",76
"Wonder Boy",83
"Here Comes the Rain",101
"The Ice Road",109
"Sisters on Track",97
"The Seventh Day",87
"Good on Paper",94
"Murder by the Coast",89
"The House of Flowers: The Movie",88
Broken,108
"O Vendedor de Sonhos",96
"Osuofia in London",84
"Osuofia in London II",70
#Selfie,125
"#Selfie 69",119
"Love Is a Story",105
"Mobile Suit Gundam II: Soldiers of Sorrow",133
"Mobile Suit Gundam III: Encounters in Space",140
"Mobile Suit Gundam: Char's Counterattack",120
"A Family",135
Fatherhood,111
"Jagame Thandhiram",159
"Kambili: The Whole 30 Yards",119
"Mobile Suit Gundam I",139
"Rurouni Kenshin: The Final",137
"Ali & Ratu Ratu Queens",101
Aziza,13
"Besieged Bread",12
"Fan Girl",101
"Red Snow",96
"Silver Linings Playbook",122
"A Man For The Week End",95
"Biking Borders",89
Lowriders,98
Security,119
"Silver Skates",138
FTA,104
"Headspace: Unwind Your Mind",273
"Life of Crime",101
"Rogue Warfare: Death of a Nation",99
"Sir! No Sir!",84
"The Reason I Jump",82
"Picture a Scientist",97
"The Devil Below",89
"Bling Empire - The Afterparty",36
"Cobra Kai - The Afterparty",34
"To All the Boys: Always and Forever - The Afterparty",36
Sarbath,113
"Skater Girl",110
"Trese After Dark",36
"Wish Dragon",102
