title,seasons
"Blood & Water",2
Ganglands,1
"Jailbirds New Orleans",1
"Kota Factory",2
"Midnight Mass",1
"The Great British Baking Show",9
"Vendetta: Truth, Lies and The Mafia",1
"Bangkok Breaking",1
"Crime Stories: India Detectives",1
"Dear White People",4
"Falsa identidad",2
Jaguar,1
"Monsters Inside: The 24 Faces of Billy Milligan",1
"Resurrection: Ertugrul",5
"Love on the Spectrum",2
"Chicago Party Aunt",1
"Sex Education",3
"Squid Game",1
"Tayo and Little Wizards",1
"Angry Birds",1
"Chhota Bheem",3
"He-Man and the Masters of the Universe",1
"The Smart Money Woman",1
"Castle and Castle",2
Dharmakshetra,1
"Nailed It",6
Numberblocks,6
"Raja Rasoi Aur Anya Kahaniyan",1
"Saved by the Bell",9
"Stories by Rabindranath Tagore",1
"Too Hot To Handle: Latino",1
"Jack Whitehall: Travels with My Father",5
"The World's Most Amazing Vacation Rentals",2
"Yowamushi Pedal",1
Lucifer,6
"Metal Shop Masters",1
"Pokémon Master Journeys: The Series",1
"Titipo Titipo",2
"Mighty Raju",4
"Into the Night",2
"The Circle",3
"Kid Cosmic",2
"Octonauts: Above & Beyond",1
"On the Verge",1
"Tobot Galaxy Detectives",2
"Countdown: Inspiration4 Mission to Space",1
"Tayo the Little Bus",2
Bunk'd,5
"Dive Club",1
"La casa de papel",5
"Money Heist: From Tokyo to Berlin",1
Sharkdog,1
"Heroes of Goo Jit Zu",1
"Hotel Del Luna",1
"Luv Kushh",1
"Pororo - The Little Penguin",3
Q-Force,1
"Brave Animated Series",1
"How to Be a Cowboy",1
"HQ Barbers",1
Kid-E-Cats,2
"Kuroko's Basketball",3
"Major Dad",4
Oldsters,1
"Turning Point: 9/11 and the War on Terror",1
"Sparking Joy",1
"Hometown Cha-Cha-Cha",1
"The Ingenuity of the Househusband",1
"Bread Barbershop",2
D.P.,1
"Deadly Sins",1
"I Heart Arlo",1
"King of Boys: The Return of the King",1
Rebellion,2
"RIDE ON TIME",3
"Titletown High",1
"EDENS ZERO",1
"Family Reunion",4
Clickbait,1
"John of God: The Crimes of a Spiritual Healer",1
"Motel Makeover",1
"Open Your Eyes",1
"Post Mortem: No One Dies in Skarnes",1
"Wheel of Fortune",3
"Oggy Oggy",1
Manifest,3
"Comedy Premium League",1
"Everything Will Be Fine",1
"Korean Cold Noodle Rhapsody",1
"The Chair",1
"Go! Go! Cory Carson",5
"The Defeated",1
"Mother Goose Club",2
"Rascal Does Not Dream of Bunny Girl Senpai",1
"The Creative Indians",1
"Winx Club",2
"Brand New Cherry Flavor",1
"Fast & Furious Spy Racers",5
"Gone for Good",1
"Grace and Frankie",7
"The Kingdom",1
Valeria,2
"AlRawabi School for Girls",1
"Bake Squad",1
"Gabby's Dollhouse",2
"I Need Romance",1
"Las muñecas de la mafia",1
"The Crowned Clown",1
"SHAMAN KING",1
"Hit & Run",1
Navarasa,1
"Car Masters: Rust to Riches",3
"Cocaine Cowboys: The Kings of Miami",1
"Control Z",2
"Cooking With Paris",1
"Autumn's Concerto",1
"Office Girls",1
"The Prince Who Turns into a Frog",1
"Top Secret UFO Projects: Declassified",1
"Two Fathers",1
"You're My Destiny",1
"30 Rock",7
"44 Cats",3
"Darwin’s Game",1
"Friday Night Lights",5
"Hunter X Hunter (2011)",6
Charmed,3
Centaurworld,1
"Glow Up",3
Khawatir,1
"Myth & Mogul: John DeLorean",1
"Outer Banks",2
"Transformers: War for Cybertron: Kingdom",1
"Tattoo Redo",1
"The Flash",7
"The Snitch Cartel: Origins",1
"All American",3
"How to Sell Drugs Online (Fast)",3
"Mighty Express",4
"Plastic Cup Boyz: Laughing My Mask Off!",1
"The Walking Dead",10
